Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-218.7987	-331.0379	112.2393	0.8613148	1.648295	7.976968	0.911215	0.0887854	1.495084
6	-218.4875	-332.126	113.6385	1.312894	1.648295	3.157392	0.941901	0.0580987	1.037106
12	-215.1862	-329.1972	114.0109	1.112209	1.240885	3.598733	0.9531	0.0468996	1.00476
18	-217.8881	-330.8039	112.9158	1.202747	1.846503	5.364962	0.979208	0.0207919	1.023337
24	-230.5558	-344.9934	114.4376	1.347784	1.279746	2.269501	0.971381	0.0286194	0.8847186
30	-226.0643	-340.3674	114.3031	0.7333003	1.420187	2.853131	0.872731	0.127269	1.224749
36	-218.7675	-331.219	112.4515	0.9086714	1.228785	9.16324	0.919312	0.0806878	1.377718
42	-219.1298	-331.8286	112.6988	1.231433	1.007364	10.90025	0.907712	0.0922879	0.7615401
48	-223.8504	-338.3346	114.4842	1.382762	2.218696	1.36	0.94515	0.05485	0.7265423
54	-218.4365	-332.3303	113.8938	1.284958	2.02849	2.533339	0.981313	0.018687	0.833319
60	-219.9907	-333.6989	113.7082	1.399607	2.117548	2.34718	0.989752	0.0102481	0.9617012
66	-209.3547	-323.085	113.7303	1.063812	2.117548	3.020007	0.977215	0.0227852	0.9617012
72	-211.0676	-322.8628	111.7952	1.091143	2.117548	5.313884	0.977418	0.0225818	1.866594
78	-208.8299	-321.8496	113.0197	1.045111	2.014949	5.313884	0.978968	0.0210315	0.9892023
84	-212.2851	-324.2026	111.9175	0.6703059	2.014949	8.073827	0.966504	0.0334965	1.687286
90	-214.8199	-327.6299	112.8099	0.7679997	3.973271	2.805938	0.925277	0.0747234	1.408824
96	-224.7295	-337.0038	112.2743	0.5155791	2.142484	5.9288	0.925277	0.0747234	1.815657
102	-211.1448	-323.8198	112.675	1.12959	1.190595	7.832952	0.899785	0.100215	1.239498
108	-214.8608	-327.2228	112.3619	0.6840557	2.185423	7.832952	0.961339	0.0386609	1.304328
114	-218.188	-330.495	112.307	1.316512	2.185423	7.832952	0.980249	0.0197511	0.7149183
120	-232.5837	-345.2038	112.6201	1.579865	1.330757	7.832952	0.980889	0.0191112	0.6903661
126	-226.4533	-341.139	114.6857	1.464046	1.330757	1.745401	0.979097	0.0209032	0.7588837
132	-234.8185	-347.7126	112.8941	1.24082	1.414836	6.563368	0.907388	0.0926121	1.01404
138	-230.484	-343.6255	113.1416	1.24082	1.414836	5.532882	0.941997	0.0580028	1.01404
144	-232.3265	-345.9314	113.6049	1.375623	1.414836	3.852717	0.922364	0.0776361	0.912257
150	-226.634	-338.7856	112.1516	0.83473	1.357505	10.37253	0.920351	0.0796494	1.43461
156	-236.2731	-347.0521	110.779	0.8476893	1.357505	10.56866	0.948511	0.0514891	2.345351
162	-232.4521	-344.7348	112.2827	1.379325	1.559481	10.0136	0.881992	0.118008	0.6622167
168	-229.9663	-341.9637	111.9974	0.831822	2.499648	10.0136	0.968063	0.0319368	1.017261
174	-226.7371	-339.2412	112.5041	0.9090479	2.774036	7.064542	0.916175	0.0838255	0.8202098
180	-226.5431	-340.6471	114.104	1.110053	2.656887	1.670141	0.951888	0.0481123	0.9785169
186	-223.0651	-336.3043	113.2392	1.211464	2.171162	4.400251	0.946335	0.0536646	0.7351385
192	-220.0383	-332.8607	112.8224	1.137365	3.208513	4.400251	0.977859	0.0221413	0.743795
198	-217.6927	-332.4042	114.7115	0.9243321	1.646898	1.919657	0.971357	0.028643	0.9632794
204	-214.4403	-328.414	113.9736	1.210518	2.569908	2.038814	0.974625	0.0253755	0.7957277
210	-220.7738	-331.5739	110.8001	0.9052373	2.437222	10.4958	0.939637	0.0603632	1.858933
216	-214.7248	-327.1738	112.449	0.7127886	2.437222	5.764933	0.872527	0.127473	1.46476
222	-211.8405	-325.1045	113.264	0.958081	2.437222	3.748083	0.961093	0.0389067	1.080446
228	-215.8001	-328.0539	112.2538	0.9447068	2.437222	8.081002	0.961093	0.0389067	1.011239
234	-244.0521	-355.6269	111.5748	1.257634	2.745198	9.822736	0.970268	0.0297318	0.9252675
240	-243.2886	-358.5747	115.2861	1.178144	0.6294957	2.229503	0.93723	0.06277	0.921579
246	-234.5259	-347.7104	113.1845	1.167597	1.684586	5.319765	0.974808	0.025192	0.901642
252	-225.8448	-339.8537	114.009	1.229579	1.308859	2.079419	0.89331	0.10669	1.443002
258	-232.273	-344.5888	112.3158	0.7491311	1.475251	4.615019	0.89331	0.10669	2.154064
264	-222.3036	-335.3892	113.0856	0.5530157	3.099096	2.60127	0.981206	0.0187939	1.675751
270	-224.1739	-337.3888	113.2149	0.7710676	1.859319	2.60127	0.976625	0.0233746	1.867653
276	-217.6259	-331.639	114.013	0.9484198	1.859319	1.896076	0.954288	0.0457119	1.439273
282	-224.86	-337.0506	112.1906	0.8407788	1.859319	8.068972	0.960905	0.0390954	1.430049
288	-213.0395	-326.9847	113.9452	0.8191247	1.086794	3.460102	0.96786	0.0321405	1.468512
294	-212.6998	-326.4071	113.7073	1.083514	1.592109	3.154623	0.963064	0.0369364	1.217645
300	-227.9802	-342.0867	114.1065	1.052451	0.9296313	3.508756	0.954745	0.0452553	1.266064
306	-239.7591	-353.7709	114.0118	0.9262211	1.298276	3.508756	0.81402	0.18598	1.163291
312	-223.5953	-336.3883	112.793	0.7930415	1.592109	7.150533	0.957409	0.0425911	1.274213
318	-219.8709	-331.7072	111.8363	0.8686495	2.749815	6.976519	0.94649	0.0535101	1.486408
324	-218.2377	-332.0779	113.8402	1.068803	2.539585	2.342495	0.940759	0.0592412	0.9419428
330	-222.5478	-336.7192	114.1714	1.075231	1.718335	2.342495	0.931112	0.0688879	1.066627
336	-223.1798	-337.4799	114.3001	1.075231	0.8898269	4.099739	0.930083	0.0699169	0.9108697
342	-221.9796	-335.4718	113.4922	0.7301942	1.218863	3.121851	0.877441	0.122559	1.866846
348	-217.2929	-330.9248	113.6319	0.7043946	1.384349	4.999784	0.89926	0.10074	1.208141
354	-217.1833	-330.6697	113.4864	0.6566444	1.384349	4.999784	0.969276	0.0307242	1.366295
360	-214.5317	-327.6297	113.0979	0.8662471	1.384349	6.611736	0.952085	0.0479148	1.182771
366	-217.6802	-330.8712	113.1909	0.9489342	1.165544	6.641547	0.952085	0.0479148	1.182771
372	-227.0052	-339.9157	112.9105	0.7999549	1.527725	6.641547	0.904924	0.0950764	1.299485
378	-223.5672	-336.1804	112.6132	0.3571071	1.418184	6.641547	0.882304	0.117696	1.900432
384	-219.9973	-332.362	112.3647	0.4061971	1.418184	6.641547	0.951892	0.0481078	2.034112
390	-236.0082	-351.7702	115.762	1.270724	0.2750333	2.852066	0.645285	0.354715	0.4453886
396	-226.2104	-341.9311	115.7207	1.441182	0.2750333	2.571918	0.817277	0.182723	0.4453886
402	-222.7624	-336.6304	113.868	1.3331	1.324167	3.704505	0.881706	0.118294	0.7950229
408	-223.5424	-335.2754	111.7331	1.433413	1.985866	10.91567	0.913245	0.0867549	0.7950229
414	-219.322	-333.1448	113.8228	1.563914	1.786249	2.732473	0.863576	0.136424	0.52844
420	-210.4781	-322.8851	112.407	1.566398	1.819975	7.512123	0.98086	0.0191399	0.4942219
426	-215.4937	-326.7348	111.2411	1.140743	1.819975	18.53944	0.966759	0.0332405	0.8011497
432	-219.3907	-329.8485	110.4578	0.7424648	2.282938	16.43619	0.969928	0.0300717	1.753296
438	-220.9768	-332.7515	111.7746	0.6284207	2.06796	9.628749	0.967771	0.0322292	1.602628
444	-231.1226	-343.8238	112.7012	0.6646084	2.06796	5.035582	0.851919	0.148081	1.602628
450	-218.2139	-331.6063	113.3924	1.035955	1.668369	5.180292	0.964565	0.0354355	0.8697857
456	-217.8588	-331.6735	113.8147	1.250536	1.436913	3.619044	0.972322	0.0276783	0.8915869
462	-224.0739	-338.6191	114.5451	1.453588	1.436913	2.018988	0.927939	0.0720614	0.5029383
468	-221.7773	-335.6062	113.8289	1.275109	0.7977608	6.272138	0.881177	0.118823	0.5029383
474	-217.645	-330.6704	113.0254	1.42766	0.7977608	8.766139	0.893071	0.106929	0.824089
480	-218.5681	-332.8652	114.2971	1.089537	0.6662148	5.042568	0.990775	0.00922492	0.8811564
486	-227.8037	-341.0154	113.2116	0.6279714	0.9851517	9.078977	0.959058	0.0409415	1.18148
492	-226.6166	-341.957	115.3404	1.202686	0.5410134	1.850819	0.961234	0.0387659	1.18148
